Total commit count: 18489
Number of unique messages: 10451
Message occurrence: odict_keys([1723, 558, 125, 118, 87, 57, 54, 53, 49, 46, 45, 36, 33, 29, 27, 25, 23, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1])
Number of occurence 	 Number of messages 	 Messages
1723 	 1 	 ['(no message)']
558 	 1 	 ['cleanup']
125 	 1 	 ['tests']
118 	 1 	 ['npe fixed']
87 	 1 	 ['i18n']
57 	 2 	 ['npe fix', 'integrate']
54 	 2 	 ['tests fixed', 'test']
53 	 1 	 ['test fixed']
49 	 1 	 ['merged cvs and subversion versions']
46 	 1 	 ['npe']
45 	 1 	 ['fixed npe']
36 	 1 	 ['test fix']
33 	 1 	 ['test data fixed']
29 	 2 	 ['minor', 'moving to new model']
27 	 1 	 ['cosmetics']
25 	 3 	 ['minor fix', 'fix', 'lessening dependencies']
23 	 3 	 ['fixing tests', 'test bombed', 'emma']
21 	 3 	 ['fix tests', 'minor changes', 'zx']
20 	 1 	 ['safe delete now works for arbitrary files and dirs']
19 	 2 	 ['rollback', 'fix npe']
18 	 4 	 ['package moved', 'changes in psi. viewprovider introduced', 'all tests passed', 'ideadev-89']
17 	 1 	 ['code cleanup']
16 	 2 	 ['fixing tests.', 'refactoring']
15 	 3 	 ['fix test', 'fixes', 'description fixed.']
14 	 2 	 ['typo', 'modularization']
13 	 5 	 ['test bombed.', '@notnulled', 'javadocs', 'bomb recharged', 'ideadev-366']
12 	 6 	 ['minor fixes', 'coverage', 'bombed', 'enteractiontest fixed', 'fixed completion', 'ideadev-814. to be cont.']
11 	 6 	 ['build fix', 'performance', 'tests fix', 'codeeditutil use now postprocessformarring', 'some movements', 'htmlformattertest time bombed']
10 	 14 	 ['npe fixed.', 'bomb extended.', 'bomb extended', 'several fixes', 'jspxsanitytest fixed', 'update copyright settings for new copyright plugin', 'vfs changes', 'fixed idea-5213', 'fixed cce', 'copyright headers updated to apache 2.0 license.', 'module files updated. new component highlightingsettingsperfile was added.', 'ideadev-156', 'fix for ideadev-900', 'dummyholder non null manager in constructor contract enforced']
