parent_commit_file_hash; current_commit_file_hash; message; author; date;
29fbe6d8349c4c6f45db3f87d74cd706e0f7e6ea;eeaa2aeebdb4e4d36b93e4951aa135fdc6d339e7;don't retrieve method separators for binary files (IDEADEV-4366);Dmitry Jemerov;Sat Jul 1 16:44:32 2006 +0400;
00e4ed7570a5d55dac644fee5e7af56e1fb0097a;29fbe6d8349c4c6f45db3f87d74cd706e0f7e6ea;force refresh properties on roots change (IDEADEV-3991);Dmitry Jemerov;Sat Jul 1 16:30:28 2006 +0400;
ad2b721ca3b13c727160cdb80dbbb8cdf2647ed9;00e4ed7570a5d55dac644fee5e7af56e1fb0097a;cleanup;Eugene Vigdorchik;Sat Jul 1 16:09:47 2006 +0400;
cd497217452cab7cd9c6208b4a117e5ff292d0f3;ad2b721ca3b13c727160cdb80dbbb8cdf2647ed9;cleanup;Eugene Vigdorchik;Sat Jul 1 16:04:33 2006 +0400;
ea69867e38ce7ed8de23d7b7452e1739eb428661;cd497217452cab7cd9c6208b4a117e5ff292d0f3;cleanup;Eugene Vigdorchik;Sat Jul 1 15:53:55 2006 +0400;
23c1a0a4d675c204c02aa9ac2c835ba8bd17661e;ea69867e38ce7ed8de23d7b7452e1739eb428661;cleanup;Eugene Vigdorchik;Sat Jul 1 15:51:21 2006 +0400;
c5652594f3abf24293ef6b65d675b8d5d4a868be;23c1a0a4d675c204c02aa9ac2c835ba8bd17661e;cleanup;Eugene Vigdorchik;Sat Jul 1 15:50:01 2006 +0400;
e93e405092848b292ce626a2dae903a3eda12d66;c5652594f3abf24293ef6b65d675b8d5d4a868be;cleanup;Eugene Vigdorchik;Sat Jul 1 15:48:12 2006 +0400;
54fcaeb709a733b25296394a07124d84655d40f5;e93e405092848b292ce626a2dae903a3eda12d66;avoid showing error twice on saving combobox property (IDEADEV-6558);Dmitry Jemerov;Sat Jul 1 15:46:59 2006 +0400;
aa022eab76df0c2324add6ef395b12532cf651e5;54fcaeb709a733b25296394a07124d84655d40f5;allow to choose between inner and outer classes for create from usage fixes: should not be available for create local variable;Eugene Vigdorchik;Sat Jul 1 15:42:37 2006 +0400;
6f8e5cd27f1e3cf42a38b40a5690f88abb79ee2a;aa022eab76df0c2324add6ef395b12532cf651e5;allow to choose between inner and outer classes for create from usage fixes;Eugene Vigdorchik;Sat Jul 1 15:33:23 2006 +0400;
a32708814fc694be00d30c7b87dcf264bf6cc7ef;6f8e5cd27f1e3cf42a38b40a5690f88abb79ee2a;once more commited -> committed;Dmitry Jemerov;Sat Jul 1 15:19:50 2006 +0400;
6afdd903a230704091742ad04869d406c94068bc;a32708814fc694be00d30c7b87dcf264bf6cc7ef;commited -> committed; refresh font immediately after closing the dialog; correctly remove font overrides (IDEADEV-6553);Dmitry Jemerov;Sat Jul 1 15:08:28 2006 +0400;
586a902df97890b6f1669f2a48eefd6b1860ccb1;6afdd903a230704091742ad04869d406c94068bc;refresh client properties list immediately after closing the dialog;Dmitry Jemerov;Sat Jul 1 14:46:00 2006 +0400;
ba7709f4666f3a9ffbe2bbae3de18e09f764e943;586a902df97890b6f1669f2a48eefd6b1860ccb1;range checks added (IDEADEV-6259);Dmitry Jemerov;Sat Jul 1 13:34:20 2006 +0400;
4e708bf5ebe879d168c934c3fa5f8d2e20ccfdd6;ba7709f4666f3a9ffbe2bbae3de18e09f764e943;IntEnumEditor accepts null values (IDEADEV-6599);Dmitry Jemerov;Sat Jul 1 13:18:46 2006 +0400;
bea3b4ca363bfd534e379740cb6de6c6302d7905;bfa451c166455ec85fca8aaaddfc775a621b9d88;test data fix;Anna Kozlova;Sat Jul 1 13:10:48 2006 +0400;
7131b1967a16b3ba64b6af0749ebd4d6e643c05f;4e708bf5ebe879d168c934c3fa5f8d2e20ccfdd6;avoid showing errors with no text;Dmitry Jemerov;Sat Jul 1 11:50:25 2006 +0400;
ccc6cb2ec4f3cd56f9dd3a83a40bd6db5cff1d26;7131b1967a16b3ba64b6af0749ebd4d6e643c05f;fixed stack overflow;Maxim Mossienko;Fri Jun 30 22:25:56 2006 +0400;
df3b35a32c8c827c415152263bcc5d1fc6e84b1c;bea3b4ca363bfd534e379740cb6de6c6302d7905;fixing tests;Maxim Mossienko;Fri Jun 30 22:18:53 2006 +0400;
a779699fd1ec49d9d710abc3f41214cbf2bdc92e;ccc6cb2ec4f3cd56f9dd3a83a40bd6db5cff1d26;fixing tests;Maxim Mossienko;Fri Jun 30 22:18:53 2006 +0400;
f7f139823df0114778fcb8b9fe1ebf0caf663033;df3b35a32c8c827c415152263bcc5d1fc6e84b1c;fixing tests;Maxim Mossienko;Fri Jun 30 22:11:21 2006 +0400;
57ce05dc89e479903f819b269fc51c5c4b12de6e;a779699fd1ec49d9d710abc3f41214cbf2bdc92e;fixing tests;Maxim Mossienko;Fri Jun 30 22:07:44 2006 +0400;
5ef502aa1245e10078a51ce6ba56ff7cd8678268;f7f139823df0114778fcb8b9fe1ebf0caf663033;fixing tests;Maxim Mossienko;Fri Jun 30 22:07:44 2006 +0400;
e8c3c933cbaf4d7b912ef511e6d19345032b91fb;57ce05dc89e479903f819b269fc51c5c4b12de6e;anonymous class handling fix;Dmitry Jemerov;Fri Jun 30 22:01:38 2006 +0400;
8eb025a4312aa5dca6179168ce1fb1b85322f9d2;e8c3c933cbaf4d7b912ef511e6d19345032b91fb;fix ComponentTree drag & drop (IDEADEV-5608);Dmitry Jemerov;Fri Jun 30 21:53:16 2006 +0400;
80d51d6224f6c95c0793f79cbec70fe2f05cdec3;8eb025a4312aa5dca6179168ce1fb1b85322f9d2;ensure not null error message (IDEADEV-6682);Dmitry Jemerov;Fri Jun 30 21:41:16 2006 +0400;
65a67b1c9021907d234cc5e87b21e75b0fb75b55;5ef502aa1245e10078a51ce6ba56ff7cd8678268;test data fixed;Maxim Mossienko;Fri Jun 30 21:26:52 2006 +0400;
0b676161227d6574680a3c945cfbc80dbbb87998;65a67b1c9021907d234cc5e87b21e75b0fb75b55;[#1942] assert: PostprocessReformattingAspect.postponeFormatting (IDEADEV-6712);Maxim Mossienko;Fri Jun 30 21:17:11 2006 +0400;
14ecc262ec3f5e7adf1bbd7871317b7b7e46eb3d;80d51d6224f6c95c0793f79cbec70fe2f05cdec3;forbid dragging any component item (IDEADEV-6621);Dmitry Jemerov;Fri Jun 30 21:10:10 2006 +0400;
6c7d7ff3a9a265f7f301c69209b943bf1c23bf50;0b676161227d6574680a3c945cfbc80dbbb87998;"Surround with" does not work if user selected one or more spaces (IDEADEV-6764);Maxim Mossienko;Fri Jun 30 21:08:20 2006 +0400;
2bc817ccdfadb6f6e2bd098c685133e3746d3eac;14ecc262ec3f5e7adf1bbd7871317b7b7e46eb3d;"Surround with" does not work if user selected one or more spaces (IDEADEV-6764);Maxim Mossienko;Fri Jun 30 21:08:20 2006 +0400;
cbb604aeabc8e0345d9f04fb08b74b57d260f940;2bc817ccdfadb6f6e2bd098c685133e3746d3eac;check for grid container (IDEADEV-6638);Dmitry Jemerov;Fri Jun 30 21:03:56 2006 +0400;
a2f182acb974405636f4aae6bd53d88c7079a281;cbb604aeabc8e0345d9f04fb08b74b57d260f940;use base class icon in palette (IDEADEV-6781);Dmitry Jemerov;Fri Jun 30 21:00:17 2006 +0400;
8a7c63f32ce0a7b4bad21ab3ac56b80a7b0f3153;6c7d7ff3a9a265f7f301c69209b943bf1c23bf50;allow tag completion/navigation in js in jsp/html without module;Maxim Mossienko;Fri Jun 30 20:48:31 2006 +0400;
e9b108ad0d3215ef1bd244cbcdf60c72c07225ae;a2f182acb974405636f4aae6bd53d88c7079a281;take gap rows into account when determining suggested insert location;Dmitry Jemerov;Fri Jun 30 20:39:42 2006 +0400;
8f6471303fac08a679785f9e4c9d7e6faecbc7da;8a7c63f32ce0a7b4bad21ab3ac56b80a7b0f3153;IDEADEV-6678 % minor fixes;Nikolay Chashnikov;Fri Jun 30 20:18:34 2006 +0400;
289c63b2de800bd8e44ccf67f081eb872edafa85;e9b108ad0d3215ef1bd244cbcdf60c72c07225ae;IDEADEV-6678 % minor fixes;Nikolay Chashnikov;Fri Jun 30 20:18:34 2006 +0400;
e3c0997453beeecb96c616cd70eb49b1729dfb48;8f6471303fac08a679785f9e4c9d7e6faecbc7da;fixing tests;Maxim Mossienko;Fri Jun 30 20:14:12 2006 +0400;
ba5ec357bf1c543b27450c96dd9feccb459e0d15;289c63b2de800bd8e44ccf67f081eb872edafa85;fixing tests;Maxim Mossienko;Fri Jun 30 20:14:12 2006 +0400;
1dc9b7dba34595a6d28b737ee6a852a05b39ec7e;ba5ec357bf1c543b27450c96dd9feccb459e0d15;show message box with default font;Alexey Kudravtsev;Fri Jun 30 20:04:02 2006 +0400;
3f84117a6f7bef1f81c3aa1081dff1c9f3d8a49f;1dc9b7dba34595a6d28b737ee6a852a05b39ec7e;changing text of label linked with labelFor updates default binding of related component;Dmitry Jemerov;Fri Jun 30 19:45:31 2006 +0400;
d5062f63be49de185856285e59444ab1b1db9ff8;3f84117a6f7bef1f81c3aa1081dff1c9f3d8a49f;VFS refresh performance optimization;Eugene Vigdorchik;Fri Jun 30 19:39:05 2006 +0400;
692aa907ecfd9a232b2b0ad94d0ac3b7ae9932fd;d5062f63be49de185856285e59444ab1b1db9ff8;'add' preselection in project roots;Anna Kozlova;Fri Jun 30 19:38:11 2006 +0400;
10206bb3465b9a9e92c94240bc719581f35e119c;692aa907ecfd9a232b2b0ad94d0ac3b7ae9932fd;in form preview mode, ignore bindings for button groups;Dmitry Jemerov;Fri Jun 30 19:33:45 2006 +0400;
51b9b0588fb2140df6736316687e5c5989d04721;10206bb3465b9a9e92c94240bc719581f35e119c;fixed issue with completion invoked in read-only file;Maxim Mossienko;Fri Jun 30 19:33:35 2006 +0400;
a1c2d1045ee823aeb5f515b20764053a423485ed;51b9b0588fb2140df6736316687e5c5989d04721;icons for inspection suppressions and button groups;Dmitry Jemerov;Fri Jun 30 19:31:23 2006 +0400;
80ce08877c45e8b859e74a2b39a2aac8c53dfc5e;e3c0997453beeecb96c616cd70eb49b1729dfb48;IDEADEV-6778;Alexey Kudravtsev;Fri Jun 30 19:26:51 2006 +0400;
