Bleu-score || Original Commit Message || Generated Commit Message

74.858 || add regression test for <num> already passes || add regression test for <num>
70.470 || add regression test for || add regression test for <num>
61.766 || fix bug refactor || fix bug
61.766 || fix test conflict || fix test
57.696 || add regression test for already passes || add regression test for <num>
52.231 || removing empty java file || removed empty java file
52.059 || add test case to alltests || add test case
52.059 || fix a todo in passing || fix a todo
49.161 || remove unused constructor in illegal path exception || remove unused constructor in precondition violation exception
48.602 || add test exclusions || add test <num>
48.602 || remove unused line || remove unused file
48.602 || deprecate unused code || deprecate unused class
48.602 || restore r <num> || revert r <num>
48.602 || deprecate unused code || remove unused code
48.602 || deprecate unused code || deprecate unused method
48.602 || remove unnecessary constant || remove unnecessary code
48.602 || deprecate unused code || deprecate unused constant
48.602 || modify java doc || add java doc
48.602 || delete java doc || add java doc
48.602 || delete blank line || remove blank line
48.602 || delete invalid import || remove invalid import
48.602 || adjust unit test || modify unit test
48.602 || update copyright headers || update copyright date
48.602 || removed unused packages || removed unused imports
48.602 || fix test windows || fix test failures
48.602 || removed unused file || remove unused file
46.813 || remove unused imports from webapps || remove unused imports from netty <num> utils
45.519 || add support for bcp <num> || add support for mnc <num>
44.208 || update direction || update demo
44.208 || add topic || add test
44.208 || add setter || add test
44.208 || add some || add test
44.208 || update bug || fix bug
44.208 || update sql || update readme
44.208 || add rbfnet || add test
44.208 || add knn || add test
44.208 || add exclusion || add annotation
44.208 || add normalization || add test
44.208 || add method || add test
44.208 || adding author || add author
44.208 || modify test || add test
44.208 || modify getter || add getter
44.208 || add init || add tostring
44.208 || add type || add todo
44.208 || add setter || add comment
44.208 || add encryptor || add getter
44.208 || add type || add comment
44.208 || modify props || modify name
44.208 || add properties || add comment
44.208 || modify import || add import
44.208 || rename author || add author
44.208 || add renew || add test
44.208 || add renew || add override
44.208 || add authentication || add getter
44.208 || modify init || modify name
44.208 || add connections || add test
44.208 || add init || add getter
44.208 || remove getter || add getter
44.208 || add authour || add author
44.208 || wait test || add test
44.208 || refine exception || add exception
44.208 || add chainparameters || add testcase
44.208 || add verification || add exception
44.208 || remove code || remove log
44.208 || add badexception || add import
44.208 || set version || update version
44.208 || update something || update javadoc
44.208 || tweak test || add test
43.712 || add small test for <num> || add test for <num>
42.954 || set re plugin class loader to thread s context class loader || handle case when thread s context class loader is null
42.433 || add regression test highlighting || add regression test for <num>
42.433 || updating version to <num> snapshot || bump version to <num> <num>
40.727 || equals and hash code call super true || add missing equals and hash code exclude date
40.383 || add standard license header || add license header
40.383 || deprecate now unused class || deprecate unused class
38.964 || remove uused import || remove unnecessary import
38.964 || remove deprecated code || remove unused code
38.964 || removed old logger || removed unused logger
38.964 || removed incorrect import || removed unused import
38.964 || add server header || add origin header
38.675 || add license header to thrift topology utils test || add license header to maps
38.512 || add conditional test || add test
38.512 || add some log || add log
37.463 || add license and comment || add license
37.463 || add test predicated keywords || add test
37.463 || improve javadoc with links || improve javadoc
37.302 || remove unused imports at basically speaking || remove unused imports
37.302 || added new test for annotated parameters || added new test
37.302 || remove unused imports idnetified by eclipse || remove unused imports
37.302 || remove unused import in default mqproducer || remove unused import
36.869 || remove content type || remove content type from stream body
36.405 || added more convenience method || added a convenience method
36.405 || added another convenience method || added a convenience method
36.405 || remove the debug code || remove some debug code
34.825 || fix test case bug || fix test error
34.825 || remove unnecessary method calls || remove unnecessary code
34.825 || remove unused action code || remove unused file
34.825 || add oracle test case || fix test case
34.825 || add sqlserver test case || fix test case
34.825 || remove unused log message || remove unused imports
34.825 || remove unused log output || remove unused import
34.825 || add a missing copyright || missing copyright statement
34.292 || hive <num> hive <num> makes hive unusable in properly secured cluster thejas nair reviewed by ashutosh chauhan || ignite <num> hadoop a safer way for user re login in kerberized cluster this closes <num> contributed by reid chan reidchan
34.207 || fixed the test question mark by changing the term query to wildcar query for the first test now succeeds without failure || handle null query returning from query parsers properly now that we support null queries for example when parsing a query and its lenient make sure to handle it where applicable
33.550 || added a method to read it into a string || make a wriatble closure s to string method return the result of executing the closure
33.525 || add license to test file || add license header to maps
33.525 || add apache license header || add license header to maps
33.525 || add unit test for || add regression test for <num>
33.475 || add method to som to allow for the retieval of class values for each of the neurons || fixed the argument checks to reject dimensions which are set to zero image dimension of length <num> does not make sense
33.245 || removed unnecessary serial version uid || updating serial version uid to <num> <num>
33.245 || add hash code || add hash code in uicc access rule
33.133 || replace string buffer with string builder || using string builder v string buffer patch from ishmael
32.985 || hive <num> buffered reader is not closed in meta store schema info alexander pivovarov reviewed by xuefu zhang || use the utf <num> charset explicitly instead of the default charset which may not be utf <num> created by moe https github com google moe moe migrated revid <num>
32.902 || allow dashes as part of the field name || fix the regex used for matching alluxio user name and group name upper case letters allowed which may be different from the specification of certain os distributions
32.860 || fixing compat and lint errors when syncing to google <num> || give direct executor a better to string currently it is just instance created by moe http code google com p moe java moe migrated revid <num>
32.824 || changing hash map to linked hash map for deterministic iterations <num> || replaced hash map with list hash map fixes jdk <num> error
