Bleu-score || Original Commit Message || Generated Commit Message

32.564 || refactor endpoint syntax handling in order to support camel stream component || more generics in ssr removed some unused things added bean infos to predefined templates support for annotation members matching
32.380 || consolidate to use the same json schema helper from camel support || first replace statement expression implementation used to enable the testing support
31.641 || upgrade mockito core to version <num> <num> for camel weather || more generics in ssr removed some unused things added bean infos to predefined templates support for annotation members matching
31.379 || camel hl <num> fixed cs || fixed issue with wrong picking up markup by xml lexer when the markup contains inside literal fixed regress in xml lexer caused by max ik
31.379 || fix default value for eviction type to make it work with camel caffeine starter || fixed issue with wrong picking up markup by xml lexer when the markup contains inside literal fixed regress in xml lexer caused by max ik
31.379 || use the files api to read files instead of scanner || fixed issue with wrong picking up markup by xml lexer when the markup contains inside literal fixed regress in xml lexer caused by max ik
31.379 || camel olingo <num> fixed cs || fixed issue with wrong picking up markup by xml lexer when the markup contains inside literal fixed regress in xml lexer caused by max ik
31.379 || let ok status code range support multiple ranges thanks to niels ull harremoes for the patch || fixed issue with wrong picking up markup by xml lexer when the markup contains inside literal fixed regress in xml lexer caused by max ik
31.379 || camel aws s <num> regen after adding the delimiter || fixed issue with wrong picking up markup by xml lexer when the markup contains inside literal fixed regress in xml lexer caused by max ik
31.379 || fixed cs for camel maven package plugin || fixed issue with wrong picking up markup by xml lexer when the markup contains inside literal fixed regress in xml lexer caused by max ik
31.273 || disable camel consul test on karaf as it does not work || rolled back ven s changes as those cause stack overflow error in ant completion test
31.273 || deprecate standalone camel catalog as mxbean as its not compliant and not in use anyway || rolled back ven s changes as those cause stack overflow error in ant completion test
31.273 || property binding support better error reporting for binding not possible || same sequential multiple vars constraint is supported also replacement for this case is done better
30.853 || add unit test to support folders in zip files || first replace statement expression implementation used to enable the testing support
30.853 || first review feedbacks still need to make karaf feature test passing || first replace statement expression implementation used to enable the testing support
30.853 || use java <num> api to make the browse oldest code similar || first replace statement expression implementation used to enable the testing support
30.853 || camel aws cw use the bind to registry annotation in tests || first replace statement expression implementation used to enable the testing support
30.853 || add an advanced properties to the camel thrift component || first replace statement expression implementation used to enable the testing support
30.853 || enable camel undertow component to set custom http handler || first replace statement expression implementation used to enable the testing support
30.701 || use the same name for hazelcast client config and config || more generics in ssr removed some unused things added bean infos to predefined templates support for annotation members matching
30.701 || implements  for camel olingo <num> || more generics in ssr removed some unused things added bean infos to predefined templates support for annotation members matching
