Bleu-score || Original Commit Message || Generated Commit Message

33.436 || fixed replace by symbol bug added possibility to search for the xml tag refactored compiler || add runtime camel catalog to camel core so we can reuse more catalog logic at runtime and have camel catalog for tooling that has the complete catalog content we need the runtime for component health check and more in the future
32.453 || scope is appended to no usages found and title of usageview || message history eip now supports filtering nodes and to keep a copy of the traced message
31.736 || added check for is valid before the replace || camel apt avoid generating type converter meta inf file when we generate type converter loader this also speedup starting camel as we avoid double scanning out of the box
31.736 || test for completion of jsp end tag in lastly added case || camel apt avoid generating type converter meta inf file when we generate type converter loader this also speedup starting camel as we avoid double scanning out of the box
31.554 || to change default namespace was not a good idea || rename components to default names camel netty <num> http to camel netty http fixed refs in camel rest
31.379 || auto identify search targets is off by default || configuring endpoints with consumer prefix for consumer options is no longer supported as they should be regular options instead this also avoid reflection setting properties
31.370 || reverted to the path to ant || message history eip now supports filtering nodes and to keep a copy of the traced message
31.370 || waiting a little bit after found usage to enable awt repainting || message history eip now supports filtering nodes and to keep a copy of the traced message
31.370 || enabled insertion of required attrs by default for the html better handling of quotes for html || message history eip now supports filtering nodes and to keep a copy of the traced message
30.951 || patch for nike || add support for generating type converter loader source code to be able to load component type converters in a faster way
30.951 || tests for javadoc generation || add support for generating type converter loader source code to be able to load component type converters in a faster way
30.564 || fixed issue with constraint not used for <num> occurence || use awaitility in camel core for testing where we otherwise use thred sleep which can be speeded up
30.564 || sleep times reduced || use awaitility in camel core for testing where we otherwise use thred sleep which can be speeded up
30.419 || collapsing in c n etc || camel connectors allow to configure in one place and let it figure out component vs endpoint level
30.419 || add license agreement to license server || camel connectors allow to configure in one place and let it figure out component vs endpoint level
30.419 || one more qualified this completion variant <num> || camel connectors allow to configure in one place and let it figure out component vs endpoint level
30.419 || css completion in html support for ids || camel connectors allow to configure in one place and let it figure out component vs endpoint level
30.264 || filters moved to psi || message history eip now supports filtering nodes and to keep a copy of the traced message
30.264 || fix to speedup resolve || message history eip now supports filtering nodes and to keep a copy of the traced message
30.264 || move to opposite not on tab || message history eip now supports filtering nodes and to keep a copy of the traced message
30.264 || fixed issue with going the caret after the document if the completion is done by || message history eip now supports filtering nodes and to keep a copy of the traced message
30.264 || commented out due to possible memory problem || message history eip now supports filtering nodes and to keep a copy of the traced message
30.264 || top most containig file instead of imidiate one || message history eip now supports filtering nodes and to keep a copy of the traced message
30.264 || refactored getting test data path to enable tests in plugin based on test data || message history eip now supports filtering nodes and to keep a copy of the traced message
30.264 || maxes fix for not hiding lookup in case of one line mode evaluation etc || message history eip now supports filtering nodes and to keep a copy of the traced message
30.264 || fixed issue with completion of parameters in constructor || message history eip now supports filtering nodes and to keep a copy of the traced message
30.264 || fixed issue with lexical highlighting of whitespace in html xml jsp || message history eip now supports filtering nodes and to keep a copy of the traced message
30.264 || fixed issue with daemon problem opening the dtd || message history eip now supports filtering nodes and to keep a copy of the traced message
30.264 || fixed regress npe with null project passed to create java highlighter || message history eip now supports filtering nodes and to keep a copy of the traced message
