Bleu-score || Original Commit Message || Generated Commit Message

69.886 || add version <num> <num> <num> validation || add version <num> <num> <num> <num> <num>
61.766 || add test exclusion || add test
61.766 || fix test conflict || fix test
52.059 || remove unused code find bugs || remove unused code
48.602 || deprecated unused code || remove unused code
48.602 || deprecate unused code || remove unused code
48.602 || remove unused interface || remove unused code
44.208 || add version || add <num>
44.208 || update bug || fix bug
44.208 || add mappings || add author
44.208 || add files || add comment
44.208 || add batch || add author
44.208 || add sql || add testcase
44.208 || add getter || add doc
44.208 || add equals || add comment
44.208 || add renew || add testcase
44.208 || add renew || add doc
44.208 || add connection || add test
44.208 || add connections || add author
44.208 || add props || add test
44.208 || add authour || add author
44.208 || revert test || fix test
44.208 || add feelimit || add comment
44.208 || add tip || add author
44.208 || show bug || fix bug
44.208 || update file || update readme
44.208 || fix its || fix test
42.433 || add test for enum eq || add test for query query
42.433 || add test for contains usage || add test for issue <num>
42.433 || add testcase for deprepcated classes || add testcase for issue <num>
40.383 || remove unused deprecated code || remove unused code
40.383 || remove unused unnecessary code || remove unused code
38.964 || remove unsued code || remove unused code
38.964 || remove deprecated code || remove unused code
38.964 || remove client debug || remove debug output
38.964 || remove unuse code || remove unused code
37.302 || remove unused code reported by findbugs || remove unused code
37.302 || add missing javadocs in core metrics || add missing javadocs
36.007 || add a regression test for b <num> || add a test for the test annotation
36.007 || add a regression test for string splitter || add a test for the text pattern
36.007 || add support for setting the user agent || add user agent to the user request
34.825 || remove unused exception declarations || remove unused code
34.825 || remove unused deprecated marker || remove unused code
34.825 || remove unused return value || remove unused code
34.825 || remove unused public methods || remove unused code
34.825 || remove unused inner class || remove unused code
34.825 || add test for oracle || add test case
34.825 || remove unused type param || remove unused code
34.825 || update verion <num> <num> || add <num> <num>
34.741 || add test for subclasses in click || add test for activity activity
34.379 || added a method to programatically update a property || added a convenience method to the build to
34.247 || implement member message to string add log messagess || add a bit more logging to the log message
34.229 || hive <num> use object identity to prevent recursion instead of equality in the optimizer visitor pattern gopal v reviewed by sergey shelukhin || add a method to get the ast of a node node created by moe http code google com p moe moe migrated revid <num>
34.043 || add a regression test for <num> || add test for <num>
34.032 || add some progress info to the websockets frame test || add a test to ensure the result is not closed
33.753 || fixed a bug if combination fails to parse the method reports iae || add a convenience method to get the map to the get method
33.598 || fix test compile error by avoiding string literal assignments for the large lexer test || add test for issue <num> to the test to the test to the test
33.550 || update changes file tweak parser interp test to use new api || add a test for the new parser parser to the build to the build to
33.525 || adds test for <num> <num> || add test for issue <num>
33.516 || add heartbeat thread to gen minimal output for travis appveyor to avoid timeout || add a test for the usage of the test case to the test to the test
33.516 || add regression test for <num> token named atn breaks reference to atn invalid alt number || add testcase issue <num> to the end of a string parser to the test to the
33.494 || add android text text utils is empty to the list of null checking || add a couple of a method to make the ast of a more efficient in a node
33.472 || add compare byte bytes <num> byte bytes <num> method in byte util lexicographical order || add byte byte byte byte byte byte byte byte byte byte byte byte byte byte byte byte byte byte buffer
33.395 || add failing testcase for <num> || add test for issue <num>
33.395 || add assert get schema name || add test for get name
33.133 || add a regression test for <num> || add a test for the test to the test
32.977 || fix the valid contract proto bug || fix bug to the last commit
32.719 || add jdk <num> version control || add <num> <num> to the rest version
32.719 || add regression test for <num> already passes || add testcase issue <num> test test case
32.719 || add missing extensions to core plugin || add a plugin name to the plugin
32.685 || add testcase support x || add testcase issue <num>
32.560 || fixed a bug in the error message || add a missing logging to the log message
32.560 || add another test case for bug <num> || add a test for the default request request
32.560 || add property user id to attachment response || add a method to get the id id
32.487 || improving the error handling error page shouldn t be <num> || fixed a compilation error to the build <num> <num> html <num> d <num> a <num> d <num>
32.487 || add support for additional <num> error codes allow responses to include blank lines || add a test for the end of the end of a byte file to make sure it
32.462 || fix the measure bug || fix bug set set layout to the last view
32.462 || add text for the delete key code || add support for creating least <num> <num> to the
32.453 || modify the offset value from <num> to <num> || fix bug to fix test bug <num> bug <num> <num> d <num> f <num> f <num>
32.453 || removed the extra added in the previous revision that led to compilation error || add a convenience method to prevent crash when the file is not found to the file
32.453 || add measure data to string || add a null check to the list of the response to the list of the data
32.422 || hive <num> hive <num> broke hadoop <num> build vaibhav gumashta reviewed by prasanth jayachandran || update core src main <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num>
32.422 || add cka <num> o <num> huk to the list of contributors || add a bit more convenience method <num> <num> <num> <num> <num> <num> <num> <num> <num>
32.422 || remove unnecessary code the socket processor is already added to the connections map || add a method to ensure the index of the index of a non existent fields
32.422 || use a boolean for indicating whether the initializer is static or not || add a todo for the last commit to the list of the class to the
32.422 || implemented the ability to add tags from passive scanner scripts || add a method to get the current type to the case of the last commit
32.407 || added a test case in an attempt to reproduce <num> || add test for the list of a path path to
32.407 || replace a type equals with asthelpers is same type || add a null check for the type type to the
32.397 || make the switch an env not property || add a todo to the config to make it is not used to be
32.397 || print the proper statistics when only a subset of available files is parsed || add a todo to the parser parser parser to the end of the parser
32.397 || ensure default context shown after a new session is started || add a method to ensure the tab is not set to the first <num>
32.380 || remove config set timeout in jedis command test base <num> || add a test to ensure the timeout is not set to the server
32.380 || add an additional error margin to avoid false test failures || add a test to ensure the number of a time is a negative
32.380 || pass the two new values to the page info instance || add null check to check if the name of the doc is found
32.380 || fix a crash in lock not before try relnotes n a || add a test to make sure the user is a non lock lock
32.380 || add manual locals clearing to java side of nth and count || add a method to ensure the to string of the non existent set
32.380 || add a test of heap select || add test to the end of the beginning of the beginning
32.380 || add failing test case for extend type resolution || add a test to ensure the type type type type type
32.380 || add error message assert to each test cases || add a test for the test to the test test to
32.380 || add conditions for check email || add a null check for the error message to the html
32.380 || add back the old get renderer from string method for compatibility || add a method to ensure the source source is not closed
32.380 || add transient case to to token method || add a convenience method to make sure it s not found
32.380 || give node list a to string || add a method to get the ast of a node name
32.380 || fix broken test after re org add test for servlet <num> || fix test <num> <num> html <num> html <num> html <num> d
32.380 || disable test the client implementation is not ready for this yet || add a test to ensure sure the server is a server
32.380 || add doc ref for null bitmap || add null check for getting the position of the last array
32.380 || add log info for witness service try produce block || add a log message to block out of a block block
32.380 || add utf <num> testcase || add testcase issue <num> to the end of the end of
32.372 || add support for getting the astname of an astfunction node || add a null check for get type name to the get type
32.372 || add eclipse generate hash code to fix a warning || add a todo to make sure the file is a non existent
32.372 || fix the bug that nomal node can not loadblockchain || fix bug by last commit to the end of the last commit
32.372 || created next color method to iterate the array of colors || fix bug by wrong code to the end of the last commit
32.372 || add back check for widget is hidden to tab interface || add a bit more method to the top of the tab tab
32.238 || adding a probe to better diagnose the missing content length header issue || add log to check the default to the end of the rest of the rest of the rest of the rest of the rest of the server
32.238 || hive <num> vectorization disable complex type constants for vector udfadaptor matt mc cline reviewed by gopal vijayaraghavan || add a couple of a method to make sure it is not used to be created by moe https github com google moe moe migrated revid <num>
32.172 || support the xdbg st and xdbg stwait options in test performance || add a test for the usage of the command of a more efficient created by moe http code google com p moe moe migrated revid <num>
