Bleu-score || Original Commit Message || Generated Commit Message

99.186 || shutdown only aws clients owned by the context aws mq || shutdown only aws clients owned by the context aws ddb
99.186 || shutdown only aws clients owned by the context aws cw || shutdown only aws clients owned by the context aws ddb
93.585 || camel aws create single karaf feature tests for single components aws ddb test || camel aws create single karaf feature tests for single components aws kms
93.585 || camel aws create single spring boot itests for single components aws iam test || camel aws create single spring boot itests for single components aws kms
90.093 || camel aws kinesis firehose add the ability to specify credentials and region at component level || camel aws kinesis add the ability to specify credentials and region at component level
87.128 || camel aws msk use bind to registry annotation where possible in tests || camel aws kms use bind to registry annotation where possible in tests
85.133 || camel crypto use bind to registry annotation wherever possible || camel mail use bind to registry annotation wherever possible
85.133 || camel jaxb use bind to registry annotation wherever possible || camel mail use bind to registry annotation wherever possible
85.133 || camel hipchat use bind to registry annotation wherever possible || camel ahc use bind to registry annotation wherever possible
80.292 || camel aws sqs use regions value of in the verifier || camel aws ddb use regions value of in the verifier
80.174 || use bind to registry wherever possible camel websocket || camel nats use bind to registry wherever possible
80.016 || camel aws lets adopt the same approach as for all the components camel aws ses || camel aws ec <num> adopt the same approach as for all the components camel aws eks
75.874 || camel mllp use bind to registry annotation wherever possible || camel jms <num> use bind to registry annotation wherever possible
75.874 || camel metrics use bind to registry annotation wherever possible || camel ahc <num> use bind to registry annotation wherever possible
70.850 || camel aws add component verifiers like s <num> for all the aws components sns component || camel aws use regional verifiers like s <num> for all the aws components moved component
70.258 || use bind to registry wherever possible camel spring redis || camel mail use bind to registry wherever possible implementation
65.229 || camel aws create single karaf feature tests for single components aws mq test || camel aws create single karaf feature itests for single components aws kms
64.043 || camel aws add component verifiers like s <num> for all the aws components ses component || camel aws mail component verifier like s <num> for all the aws components components component
62.440 || use bind to registry wherever possible camel netty <num> http || camel ahc use bind to registry wherever possible
59.513 || camel aws lambda add support for event source mapping delete operation || camel aws lambda add support for event event mapping fix operation operation operation
54.749 || camel aws ddbstream add a component verifier || camel aws ddb add a component verifier
54.075 || rename components to default names camel netty <num> to camel netty fixed camel ganglia test || rename components to default names camel netty <num> http to camel netty http fixed netty http and http <num>
49.632 || camel jackson add an option to allow the unmarshall type header use regenerated code || camel jackson add an option to allow the unmarshall type header use plain script to allow the seda type type in spring boot similar to keep the seda
48.417 || camel nats use bind to registry annotation where possible in tests || camel nats use bind to registry wherever possible to use a tls registry
46.901 || camel aws iam add group operations delete group operation || camel aws iam add group operation operation operation operation operation operation
45.999 || camel aws iam add group operations add user to group operation || camel aws iam add group operation operation operation operation
45.827 || camel aws use builders instead of different constructors aws ec <num> || camel aws ec <num> use regions instead of different constructors
45.650 || camel ftp add option to turn on logging of transfer activity || camel ftp add option to turn on logging of transfer activity lets also see it in the jmx consumer so we can monitor when it last downloaded something
44.208 || regen || regen to
43.902 || use bind to registry wherever possible camel xmpp || camel ahc use bind to registry annotation wherever possible
43.902 || use bind to registry wherever possible camel syslog || camel ahc use bind to registry annotation wherever possible
43.902 || use bind to registry wherever possible camel stream || camel mail use bind to registry annotation wherever possible
43.902 || use bind to registry wherever possible camel sjms <num> || camel jms use bind to registry annotation wherever possible
43.902 || camel jsch use bind to registry annotation wherever possible || camel ftp use bind to registry wherever possible possible
43.902 || camel google pubsub use bind to registry wherever possible || camel main use bind to registry annotation wherever possible
41.432 || removed camel eclipse remaining stuff || removed camel aws remaining stuff
41.152 || use bind to registry wherever possible camel web <num> j || camel ahc <num> use bind to registry annotation wherever possible
40.942 || allow to add custom component dataformat to catalog with provided json schema || camel catalog allow to add custom component connector by download jar
40.388 || camel aws use builders instead of different constructors aws cloud watch || camel aws use regional instead of different constructors operation
39.665 || use bind to registry wherever possible camel pubnub || camel cloud mq use bind to registry annotation wherever possible
39.136 || camel aws use builders instead of different constructors aws simple db || camel aws use regional instead of different constructors
37.463 || fixed cs and regen || fixed cs
37.438 || camel aws s <num> use bind registry annotation in tests || camel aws s <num> use amazon bind to registry annotation for all the components components
37.267 || remove camel elasticsearch <num> remaining stuff || removed camel elasticsearch <num> stuff
37.267 || add karaf feature for camel lra || camel catalog add karaf feature
36.869 || add support for wordpress rest api || camel catalog add support for connectors
36.405 || camel smpp fixed build || camel ahc fixed build
35.990 || camel cometd use bind to registry annotation where possible || camel mail use bind to registry wherever possible policy tests
35.154 || camel aws use builders instead of different constructors aws dynamo db || camel aws ddb use regions instead of different constructors
34.245 || camel aws s <num> add parameters to specify s <num> client options accelerate mode option || camel catalog add option to configure base and common options also also also also also also code in spring dsl with properties files
34.210 || add support for unmarshal single object mode in camel beanio thanks to manikanta for the test case || camel aws create single spring boot itests make it ala to have code in the jmx consumer so we can monitor when it last downloaded something
33.550 || ensure on context stop is called on the osgi service registry <num> || allow registry to bind beans to configure the camel context that is configured in the
33.550 || use the same name for hazelcast client config and config || camel hazelcast should use client instead of so its similar to all the other components
33.525 || camel opentracing karaf feature || camel catalog add karaf feature
33.245 || camel git add gc operation || camel git add support for resume download
33.133 || refactor spring boot camel auto configuration || spring boot allow to configure spring boot auto configuration
32.985 || adjust destination filename by calling existing method to make it compact as jcraft seems to need it || camel ftp add option to turn on logging of transfer activity lets also see it in the jmx consumer so we can monitor when it last downloaded something etc
