Bleu-score || Original Commit Message || Generated Commit Message

31.894 || fixed issue with file text id mismatching || file file should not use file file file file file file file file file file file file file file file file file file file file file file file file file file
31.894 || fix save configuration when module file hasn t ben created yet || file file file file file file file file file file file file file file file file file file file file file file file file file file file file file file file
31.736 || temporarily rolled back to revive tests || generate maven plugin to generate xml readme file formats not be configured as it can be tooling with xml files its file file file file file file file file
31.736 || new bcel <num> compatibility changes and new jsp jspx file models || file file file should not use files files files file file file file file file file file file file file file file file file file file file file file
31.725 || attempted to improve inference of common type || add support to lazy support until loader source and dirty prototype to be able to load component type converters in
31.565 || <num> || optimise language should be depend with classpath expression closes <num> expression not needed as it only not needed as its nested nested nested nested nested nested nested
31.554 || fixed bug in type cast formatting added double cast test for this bug || fixed cs this closes <num> is not be configured nested nested nested nested nested nested nested nested nested
31.554 || fixed <num> || fixed cs this closes <num> this is not be configured this is not be configured in the dsl
31.554 || scr <num> fixed || fixed cs to version <num> <num> to version <num> <num> <num> <num> <num> <num> <num> <num> <num> <num>
31.474 || anon to inner || fixed cs to be set as its nested function nested nested nested nested nested nested nested nested nested nested nested nested nested nested nested nested nested
31.463 || check for null xml file is inserted || file xml xml xml should be read xml xml xml xml <num> xml xml xml xml xml
31.463 || scope is appended to no usages found and title of usageview || camel catalog should not warn on the data of tooling parser the project the jira is the
31.463 || bug with completion after not valid constructions fixed || fixed cs this closes <num> property name issues this is not supported in simple dsl this can
31.370 || camel humps for speed search || camel salesforce add a new api for the <num> <num> to be used in the order
31.280 || added test case for completion from custom tag lib || camel maven maven plugin to generte spring boot tooling metadata to fool editors to have code completions for camel main application properties files files
31.280 || fix for rabrique || camel maven maven plugin to generte spring boot tooling metadata to fool editors to have code completions for camel main application properties files files
31.280 || hack in code block || camel main maven plugin to generte spring boot tooling metadata to fool editors to have code completions for camel main application properties files files
31.280 || changes for re sharper || add support for generating type converter loader source code to be able to load component type in use faster way this in a faster
31.280 || css completion in html support for ids || camel main maven plugin to generte spring boot tooling metadata to fool editors to have code completions for camel main application properties files files
31.280 || name store move to memory mapped file || camel main maven plugin to generte spring boot tooling metadata to fool editors to have code completions for camel main application properties files files
31.280 || incomplete reading from pipe fixed || fixed cs cs issues to be <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num>
31.280 || class loader fixed || add support for generating type converter loader source code to be able to load component type converters in a faster way we can be
31.213 || stupid bug fix || fix a npe
31.176 || rename is supported via file type support capabilities || file file should not use xml files when file file as it can be regular as its file as it can be working
31.176 || hack by ik for fabrique || camel maven maven plugin to generte spring boot tooling metadata to fool editors to have code completions for camel main application properties files
31.176 || updated tests according to changes in idea psi || fixed cs javadoc to be loaded with json files this is not supported as it is be configured instead of also file etc
31.176 || properties completion fixed || optimise use bean introspection to provide a properties with property builder property parser already be configured as we can be regular with default
31.176 || ignored resources in doctype uris fixed || add support for generating type converter loader source code to be able to load component type converters in a faster way a faster
31.066 || npe fix in case of empty file || generate file to file with file data helper fabric <num> project apache the poms file they is not supported description to be
30.962 || fix for dtd change caused xml document to become red || fix camel jetty to use <num> issues issues issues issues issues issues
30.951 || subtree changed fixed || fixed cs cs this closes <num> <num> <num> issues apache org jira browse camel <num> apache camel core apache camel core
30.951 || fixed control w in style attrs || fixed cs cs this closes <num> <num> <num> issues issues test <num> <num> <num> <num> <num> <num> <num> <num> <num> <num>
30.951 || smart enter for foreach || add support for generating type converter loader source code to be able to load component type converters in a faster way
30.951 || fix for several type bugs || optimise should not depend on camel core but camel support type converters we need to be invoked faster in the faster
30.829 || added new label test || fixed cs cs issues issues test <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num>
30.829 || fixed npe on containing file null || generate component out of camel core component to file file should be set as its file file file file file
30.701 || new test || camel dropbox fixed tests not work in the new components apache camel jira apache camel jira apache camel <num>
30.701 || code formatter work around || generate xml of camel core code is not supported in xml xml file file as xml as xml as
30.701 || fixed memory leak with recent data || camel mongodb should not working on the data formats data browse the jira browse the <num> to be working
30.701 || allow yes value for required attr of the tag lib || fixed cs npe in the endpoint <num> <num> <num> we be configured in the dsl we can use configured
30.564 || descendant classes macro is added || optimise bean classes to provide a order expression parser this can be regular instead of having a faster
30.564 || fixed npe for null psi element in usage view <num> || fix a new file for spring boot auto configuration for the source code that is already longer supported
30.564 || support for generic methods in smart completion || optimise should not depend on camel core but camel support is not be configured nested nested nested value
30.564 || some fixes in ant support || add property strategy to allow watching for file changes and reload prototype the the work in camel core
30.529 || fixed and newlines in subsequent matches || fixed cs to be set in the order
30.433 || fixed npe on cancel of super dialog || fixed cs npe is not be configured
30.419 || fixed missing references from xml data charcters || camel xml should not use saxon so its only is only as its as as the xml
30.419 || remove damaged subtree fixed || fixed cs cs to version <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num> <num>
