Bleu-score || Original Commit Message || Generated Commit Message

34.245 || allow gc to remove test results from memory as these can consume a lot of memory || lockout class a remove memory than remove shutdown memory system check directories states check directories directories directories from directories directories directories directories directories
34.204 || added the last catch to add the group bys in the list at the end of the loop || class class class class class the class class class class remove shutdown the the check check the avoid the avoid avoid avoid avoid avoid avoid the the the
33.642 || return a fixed linenumber column until we figure out a reliable way to determine the position of the node in the source code || statistics class the class a the class check for a avoid check catch file messaging lists from annotate messaging brandonwilliams lyuben check brandonwilliams peers brandonwilliams brandonwilliams brandonwilliams brandonwilliams brandonwilliams brandonwilliams brandonwilliams
33.598 || adding the credit of victor garcia for <num> ac <num> a <num> ae <num> c <num> ce <num> e <num> b <num> a <num> c <num> be || lockout class a class class class class with class test for for of for for a with test with test workers check directories check check brandonwilliams brandonwilliams brandonwilliams estimates
33.558 || hive <num> hive server <num> returns a detailed error message to the client only when the underlying exception is a hive sqlexception vaibhav gumashta via thejas nair || class class the class the the the the the the the check the a check than data avoid memory than javadocs flaky collections javadocs shutdown a safety
33.539 || clear the ssl support reference at the end of request processing so a reference is not retained to the sslcontext once the request is complete || class class class class class class class the class class class the class class class the class javadocs check than javadocs a memory shutdown shutdown memory
33.522 || started the implementation of the antlr tree walker for the pag removed unused variable from split rule || text class with with the a class a class of for method adding method method test test test test from from from from from from
33.475 || catch throwable no class def found error and don t abort loading it s probably a badly named class file || text class a class a class class a a a class class class of class before workers file from directories directories
33.473 || reducing the visibility of a deprecated class in the htmlunit driver || statistics a class a a class class class class a the the the the the a a a a
33.106 || avoid crash in the login page when the connections is tested then changed to other wrong url and connect is clicked before the new test finishes || class class the class the class class the class class the class a the class revert revert catch file than timer file of annotate brandonwilliams brandonwilliams brandonwilliams annotate directories from from from
33.106 || allow a newline in the middle of a velocity directive this doesn t affect any current templates but led to a mysterious failure while i was working on one recently || class a a table the check from directory check from directory file workers from from workers workers exceed memory from timestamp check messaging directory outgoing create check directories setting from directories catch
33.106 || remove unnecessary wrap with byte buffer contributes <num> of the garbage generated with a simple ab load test || text class the a a a class class flaky a the check workers check test from system javadocs memory memory directories directories directories directories directories directories directories directories directories directories directories directories
33.026 || fixed a bug where the set current item doesn t change the viewpager s current item || class class class the class class class class class the class class class remove a avoid the the the the the the the the the the the the the the
33.026 || adding somebytes column that was missing from create table tweets table || table table table with from from from from from from javadocs before javadocs from from from brandonwilliams brandonwilliams brandonwilliams brandonwilliams brandonwilliams brandonwilliams brandonwilliams brandonwilliams brandonwilliams brandonwilliams brandonwilliams brandonwilliams brandonwilliams brandonwilliams
33.026 || update integration test to use a sample ruleset and run once with the quickstart ruleset || text table with with with table a a with a a check a the check workers workers from than than from directories directories directories directories directories directories directories directories directories
33.026 || migrate users from com google common collect sets new set from map map to java util collections new set from map map which was added to jdk <num> || text table with catch file exceed workers from moe javadocs from messaging from moe javadocs from directories check cli check brandonwilliams from moe conf from simultaneous from brandonwilliams dead disruptor
32.985 || adding a convenience constructor that infers the target type from the outer class || class class class class class class class class class class class class check the the the the the the the the the the the the the the the the
32.985 || expose the new webapp loader flag in the virtual webapp loader but allow alternative name search virtual first to make it consistent with the virtual terminology || class class class class class the the class class class class class the class class class class class class the avoid javadocs avoid remove memory catch file from from
32.985 || making the add method public to improve testability but as a side effect this makes this class mutable || class a class class class class class class flaky class for for check the safety javadocs check workers from than than directories from directories from directories directories directories directories
32.985 || ensure web applications that have mixed case context paths and are deployed as directories are correctly removed on undeploy when running on a case sensitive file system || text table with with table a flaky workers from from revert from from catch file from check flag directories brandonwilliams catch brandonwilliams annotate messaging brandonwilliams brandonwilliams lists from immutable
32.944 || add another test case this one passes at the moment but would fail with some of the ideas i have had to fix the tests that currently fail || class class class class class the class the the class class class class the class the class javadocs remove remove than remove than remove shutdown check check than
32.944 || put a dummy command to satisfy an orphaned waiting thread from a page which has been reloaded || class class class class class the class class class a class class the the class the a from than than than than than than than than than than
32.944 || configure firefox to override the default <num> second limit for dom max script run time with the timeout that the selenium server uses || class class the avoid check the the the remove than clock check flaky from collections shutdown from than directories directories timer from from than from from from from
32.944 || add a run config for the option to start straight in the last saved world bypassing the main menu || class class a a a a class class the class class class class class stream class class for check memory check check check check check check check check
32.944 || pull <num> use string builder instead of string buffer as it offers high performance in a single thread locations as is generally the case || statistics class the a the a the class class a of class test class test test a class test test of class test with check test test from
32.944 || remove sorting in proto buf input row parser test due to processing src test java io druid data input proto buf input row parser test java || text class the the class class class class a class class class a the test check test for flaky from for for check for check check from test
32.902 || avoid repeated assignability check for raw class on fallback match since autowire candidate resolver is only being called for basic type matches to begin with || text class with test flaky check directories check directories directories catch file directories timer timer conf revert system from from directories from brandonwilliams never check catch outgoing
32.860 || create xml parsers that process namespace uris now users can incorporate xinclude processing in a checkstyle config file without changing the parser factory || class class class the class the class class workers remove timer workers workers collections parser from than memory system remove than catch messaging check catch file
32.860 || expose extension point on bean deserializer builder which creates the builder deserializer instance separate from the configuration for builder based deserialization in build builder based <num> || class class class class class class the the class remove shutdown the avoid shutdown shutdown avoid from from shutdown check catch file workers check check than
32.860 || emit a static import for packed when there is a packed enum || lockout class class class class class class class class class test class a class class class class class class class with for a a a a
32.860 || fixed a bug when the proxy output stream stream is already closed calling write will just cause a failure || statistics class class the a a the class remove than javadocs remove than memory from memory remove shutdown directories directories directories than than than than than
32.860 || fixes a minor bug in a test case || class class a a a a a table a a table test test test test for for for for for for from from from from from
32.817 || added a get abstract option method i am going to change the design of this class to improve the following || class class class class class the the class class class class class the class class class check the check avoid check the avoid avoid avoid
32.817 || allowing the log level to be changed after the mock server logger class has been initially loaded || class class class class class the class class class class workers than check check check the safety remove than than than than than than than
32.817 || initialize random statically with a fixed seed just in case someone uses it before before class runs e g static int i random next int || text class class for with class for a class class for class class class class class a messaging check check workers check catch workers workers
32.817 || use the correct class when creating a logger || text class a class the class class class class class class class class class class class class class class class class class class class class
32.817 || hive <num> explain formatted for queries with map join has column expr map with unformatted column name vineet garg reviewed by ashutosh chauhan || text with with with with memory from for table javadocs used flaky from workers from allow from from catch timer timer endpoints serializer collections from
32.775 || fixing issue with file transfer upload when the passed in url contains a || class class with with a check javadocs memory from from from from check catch file directories directories brandonwilliams brandonwilliams brandonwilliams brandonwilliams brandonwilliams brandonwilliams brandonwilliams
32.775 || set a very conservative time out to avoid a hang || text class a a class a class a memory directories directories avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid
