Total commit count: 37078
Number of unique messages: 2769
Message occurrence: [19609, 11885, 790, 698, 516, 56, 31, 26, 23, 22, 20, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]
Number of occurence 	 Number of messages 	 Messages
19609 	 1 	 ['no message']
11885 	 1 	 ['New version']
790 	 1 	 ['Build completed']
698 	 1 	 ['Build failed']
516 	 1 	 ['*** empty log message ***']
56 	 1 	 ['test']
31 	 1 	 ['SCR 37558']
26 	 1 	 ['NPE fix']
23 	 1 	 ["Reverted back Dave's to my revison. RefactoringHandlers etc. have been moved"]
22 	 1 	 ["This commit was manufactured by cvs2svn to create branch 'PALLADA_RELEASE'."]
20 	 1 	 ['fixed NPE']
13 	 1 	 ['rolled back Stathik changes']
12 	 3 	 ['Changes for ReSharper', 'reverted back module groups', 'Tests fix']
11 	 2 	 ['Tests fixed', 'Working on set methods generation']
10 	 1 	 ['test fixed']
9 	 2 	 ['Fixed NPE', 'Popup menu in DualVeiw has been fixed (by lesya)']
8 	 4 	 ['time bomb', 'One more try to speedup getStartOffset', "This commit was manufactured by cvs2svn to create branch 'AURORA_RELEASE'.", 'NPE fixed']
7 	 3 	 ['Implementing new model of requesting path properties', 'CCE fix', 'NPE in case of Type Parameters']
6 	 3 	 ['tests fixed', 'Changed modifiers', 'New resolve schema fixes']
5 	 13 	 ['fixed npe', 'TreeNode extends NodeDescriptor', 'added Intentions and inspections plugins back', 'tests corrected', 'Some minor fixes', 'Rollback', 'Bug fix', "This commit was manufactured by cvs2svn to create branch 'AURORA_COMPUWARE'.", 'Error messages', 'Refactoring compiler', 'Fix SCR 19333', 'Completion fixes', 'Fixing SCR #19464']
