commit,classes
433c115eb5577eba8efcc7ed34adaeb59eba5269,[]
fd66e8f7ae2bef9487be3c0d98e7b2a74126cfe4,"[('fix', 0.5997867361108363), ('refactoring', 0.6258552055389762)]"
11cf93493eab7650c9138cc2da25c3981bd8bdca,"[('fix', 0.5997867361108363), ('refactoring', 0.6258552055389762)]"
f7bb310307800aed9cc3ddd48acc0cb47c372ed7,[]
e7575bd7fdb53c8fb75f0b5f40db3b98d0a9e949,"[('refactoring', 0.5165035132133431)]"
a475df94e3ce8be77235659626e4c954e0291d46,"[('refactoring', 0.5165035132133431)]"
ab119e3e2fd16bc436aa16d64133eccff94da1cc,[]
2606711dfd4ce04d1a1352466e1e4c4d23d81be0,[]
b019b8f8e132a8d93288f7a00147eeae2c467f15,[]
6861667a808ae3ddd2c33240b22268b6a6364f88,[]
49ebe72371b86d78311184d04ab44d6a92d317f8,"[('fix', 0.6030726884981312)]"
2cf42001be3c2b74c4c8cf3c1f3e68182281616c,"[('fix', 0.5131470335472863)]"
1f213fd8a243c6c6271afa8156899867b6c54022,[]
2cf85d39cdb13bd70c598f8e03c33c08911b9f75,"[('fix', 0.5170912490006162)]"
035aa34c1c283fa502d6ad4c6ab0d368c0658c70,[]
271ad5a67f1aaf0935b4d88dd3c7ff99809e55af,"[('fix', 0.7066036902294903)]"
d919cad9c35ac20fcbb416ed477f341c8a6ef448,"[('fix', 0.5591204824652717)]"
dc9c01ebe0ee52613d81222e35eb5504fa3e70e3,"[('fix', 0.6202301658659464)]"
2e223773956cfd060cc0ea66d927c7b3ef6552bc,"[('fix', 0.5585867233016485)]"
c454e2799bb3a4e21633d4005ee0c768ac425e8a,[]
01fe6cec8e40ff76e714aeec9cf7223926ad5ab7,"[('fix', 0.6434786105519367)]"
aa2ec021617aa662eb028200c930ba7b64d9338b,"[('fix', 0.5116163787845474)]"
173d5d3987e22b526111eea7672f594814ad259f,[]
4b3449817b97aabfb445da343cb2b43072af66be,[]
057f209d4af3363a352fe096db178c26c828427d,[]
d0917fa23a71fef8a2090b54a032aebca9191880,[]
d7312e64024d1714edd8efaaad2f678015f9c873,[]
65f457f683683782132f0dbe5cc90f20d471380b,[]
87d5b76ddfaa1a5d9292f155d07e6e5103caf93b,[]
12fdb9e4a3e0e3d3d5ff1a0dbc9a930e3eafb747,[]
fd36e588dc4c58617f81a4e8828edca5fa6071f5,"[('fix', 0.6072553352126158)]"
782538198c0adbcf5db01f7efd89b8dd59614be3,[]
1a01c5b63070c82e584c0227b4f02051bae35fbc,"[('fix', 0.5490655356590117)]"
fe7f3f97b466aa80106b5264ab7eae8a81c59fc1,"[('fix', 0.6426624466307269)]"
d7208ff1d3efe5f2f429f108c0c2fcdbaad0da6b,[]
8d41675f34d8a0a9545a1c593bd21ebf1d0c172b,[]
5c9af4b88b565d46354c5a690e70681fd812592f,"[('fix', 0.6348294985671068)]"
f20945760fac7074ba8215f2031e863b547c226a,"[('fix', 0.5954314251176667)]"
76c6ebadc75d78e207f63045b78658bb6e4ecf3b,[]
d5bb19f048a06f329607cfa39c355fe256bc6c35,[]
9e55706bfe88d615ea3209c512ab87ffd5410a21,"[('fix', 0.5212887539842522)]"
a007306c9d8f4e6d447b23e91ab36ed76d0e7d9a,[]
e22083b4ad62cfacd250d1be67e3d9967ff3d7c1,[]
cc845da7e4a2fa23050810c5adfa055cb46b4e3c,[]
5883ba377388c959fe108fef53b55628b3a619a9,[]
36ff8d11507475282663322730aff818bd8e177a,"[('fix', 0.5196900315175812)]"
2f8adb4492f7a3fcfa35bb8cc937c47362ac37bc,[]
1bbd220e1d5acdebc50fbbd785fde394f383e0b7,[]
b15c0e40f659e7ea35ef4a64ca401a346b19d945,"[('fix', 0.5069520743554143)]"
6f6698995360d72fdc9e02c8a80d33d1fb874ac9,[]
866239ab145a6ff1add095d74c5a4f7b1c17310c,[]
a178b9cbf53d6e0a2116f560ef29ec515e851bff,[]
0eeac6fa2d677c60361c56f4ea3d7024f74c0775,"[('fix', 0.6089044070529225)]"
29b7ff48fb17b2275d95f813392bbe0120180c0a,[]
ea61486ec66bc6bd08ca06a8dae12cee0ba32370,"[('fix', 0.647017522567734)]"
85c531556ef068f5bb15e3f2a1aedd910680c486,"[('fix', 0.6090682031122059)]"
44ff5b7bb1ce171310363b137bafd11f79069bbb,"[('fix', 0.5116163787845474)]"
eb9035eebed55a1ca52ce16f39ef8bb81cbcb7f0,"[('fix', 0.5437240389762884)]"
